Time	Biomass	Carbon1	Carbon2	Dext	Eext	Growth	Oxygen	R6	R7	RPO2	RPcl	Rres	Tc1	Tc2	Td	Te	To2	biomass
0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
0.01	0.006242	0.0	19.988557	0.009363	0.006242	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.105894
0.02	0.012852	0.0	19.976438	0.019278	0.012852	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.112136
0.03	0.019851	0.0	19.963606	0.029777	0.019851	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.118746
0.04	0.027263	0.0	19.950017	0.040895	0.027263	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.125746
0.05	0.035112	0.0	19.935628	0.052668	0.035112	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.133158
0.06	0.043424	0.0	19.92039	0.065136	0.043424	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.141007
0.07	0.052225	0.0	19.904254	0.078338	0.052225	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.149318
0.08	0.061545	0.0	19.887167	0.092318	0.061545	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.15812
0.09	0.071415	0.0	19.869072	0.107123	0.071415	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.16744
0.1	0.081867	0.0	19.849911	0.1228	0.081867	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.17731
0.11	0.092934	0.0	19.829621	0.139401	0.092934	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.187761
0.12	0.104654	0.0	19.808134	0.156981	0.104654	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.198829
0.13	0.117065	0.0	19.785381	0.175597	0.117065	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.210548
0.14	0.130207	0.0	19.761287	0.19531	0.130207	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.222959
