Time	Biomass	Carbon1	Carbon2	Dext	Eext	Growth	Oxygen	R6	R7	RPO2	RPcl	Rres	Tc1	Tc2	Td	Te	To2	biomass
0.0	0.0	20.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
0.01	0.012297	19.987703	0.0	0.0	0.0	10.5	99.987703	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.111071
0.02	0.025955	19.974045	0.0	0.0	0.0	10.5	99.974045	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.123368
0.03	0.041125	19.958875	0.0	0.0	0.0	10.5	99.958875	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.137026
0.04	0.057975	19.942025	0.0	0.0	0.0	10.5	99.942025	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.152196
0.05	0.07669	19.92331	0.0	0.0	0.0	10.5	99.92331	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.169046
0.06	0.097477	19.902523	0.0	0.0	0.0	10.5	99.902523	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.187761
0.07	0.120566	19.879434	0.0	0.0	0.0	10.5	99.879434	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.208548
0.08	0.14621	19.85379	0.0	0.0	0.0	10.5	99.85379	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.231637
0.09	0.174694	19.825306	0.0	0.0	0.0	10.5	99.825306	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.257281
0.1	0.206331	19.793669	0.0	0.0	0.0	10.5	99.793669	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.285765
0.11	0.241471	19.758529	0.0	0.0	0.0	10.5	99.758529	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.317402
0.12	0.280501	19.719499	0.0	0.0	0.0	10.5	99.719499	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.352542
0.13	0.323852	19.676148	0.0	0.0	0.0	10.5	99.676148	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.391572
0.14	0.372003	19.627997	0.0	0.0	0.0	10.5	99.627997	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.434924
0.15	0.425485	19.574515	0.0	0.0	0.0	10.5	99.574515	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.483074
0.16	0.484887	19.515113	0.0	0.0	0.0	10.5	99.515113	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.536556
0.17	0.550866	19.449134	0.0	0.0	0.0	10.5	99.449134	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.595958
0.18	0.624149	19.375851	0.0	0.0	0.0	10.5	99.375851	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	0.661937
